,href,address,price,space
81,https://www.immobiliare.it/68761273-Affitto-Monolocale-via-Passo-Buole-Milano.html,"via Passo Buole, Porta Romana - Medaglie d'Oro, Milano",500,20
82,https://www.immobiliare.it/68761205-Affitto-Trilocale-viale-Bligny-Milano.html,"viale Bligny, Bocconi, Milano",1350,60
83,https://www.immobiliare.it/68761613-Affitto-Bilocale-via-Bonaventura-Zumbini-Milano.html,"via Bonaventura Zumbini, Barona, Milano",780,50
84,https://www.immobiliare.it/68761155-Affitto-Trilocale-via-Cola-di-Rienzo-Milano.html,"via Cola di Rienzo, Solari, Milano",1300,105
85,https://www.immobiliare.it/68760983-Affitto-Trilocale-via-Giuseppe-Ripamonti-Milano.html,"via Giuseppe Ripamonti, Quintosole - Chiaravalle, Milano",700,70
86,https://www.immobiliare.it/68761035-Affitto-Bilocale-via-Domenico-Cimarosa-Milano.html,"via Domenico Cimarosa, Washington, Milano",970,56
87,https://www.immobiliare.it/68761131-Affitto-Trilocale-via-Averardo-Buschi-Milano.html,"via Averardo Buschi, Città Studi, Milano",1300,80
88,https://www.immobiliare.it/68760901-Affitto-Bilocale-via-Bonaventura-Zumbini-Milano.html,"via Bonaventura Zumbini, Barona, Milano",780,50
89,https://www.immobiliare.it/68760579-Affitto-Monolocale-via-Passo-Buole-Milano.html,"via Passo Buole, Porta Romana - Medaglie d'Oro, Milano",500,20
90,https://www.immobiliare.it/68761055-Affitto-Bilocale-via-Enrico-Caviglia-Milano.html,"via Enrico Caviglia, Bologna - Sulmona, Milano",850,60
91,https://www.immobiliare.it/68760935-Affitto-Monolocale-via-Francesco-Brioschi-Milano.html,"via Francesco Brioschi, Pezzotti - Meda, Milano",680,22
92,https://www.immobiliare.it/68759099-Affitto-Bilocale-via-Bonaventura-Zumbini-Milano.html,"via Bonaventura Zumbini, Barona, Milano",780,50
93,https://www.immobiliare.it/68759659-Affitto-Monolocale-via-Francesco-Brioschi-Milano.html,"via Francesco Brioschi, Pezzotti - Meda, Milano",680,22
94,https://www.immobiliare.it/68759763-Affitto-Trilocale-via-Giuseppe-Ripamonti-Milano.html,"via Giuseppe Ripamonti, Quintosole - Chiaravalle, Milano",700,70
95,https://www.immobiliare.it/68759365-Affitto-Trilocale-via-Cola-di-Rienzo-Milano.html,"via Cola di Rienzo, Solari, Milano",1300,105
96,https://www.immobiliare.it/68759475-Affitto-Bilocale-via-Domenico-Cimarosa-Milano.html,"via Domenico Cimarosa, Washington, Milano",970,56
97,https://www.immobiliare.it/68759721-Affitto-Loft-Open-Space-via-Enrico-Caviglia-Milano.html,"/ Open Space via Enrico Caviglia, Bologna - Sulmona, Milano",850,60
98,https://www.immobiliare.it/68759227-Affitto-Bilocale-piazza-Villapizzone-Milano.html,"piazza Villapizzone, Bovisa, Milano",800,55
99,https://www.immobiliare.it/68759335-Affitto-Bilocale-ottimo-stato-Milano.html,"ottimo stato, Solari, Milano",800,65
100,https://www.immobiliare.it/68761987-Affitto-Trilocale-viale-Bligny-Milano.html,"viale Bligny, Bocconi, Milano",1350,60
101,https://www.immobiliare.it/68761135-Affitto-Bilocale-viale-viale-Mugello-Milano.html,"viale viale Mugello, Porta Vittoria, Milano",650,50
102,https://www.immobiliare.it/68759603-Affitto-Trilocale-via-via-Cola-Di-Rienzo-Milano.html,"via via Cola Di Rienzo, Solari, Milano",1300,105
103,https://www.immobiliare.it/68760903-Affitto-Monolocale-via-via-Passo-Buole-Milano.html,"via via Passo Buole, Porta Romana - Medaglie d'Oro, Milano",500,20
104,https://www.immobiliare.it/68755603-Affitto-Monolocale-viale-San-Gimignano-38-Milano.html,"viale San Gimignano 38, Bande Nere, Milano",1300,70
105,https://www.immobiliare.it/68753827-Affitto-Trilocale-via-Giuseppe-Ripamonti-Milano.html,"via Giuseppe Ripamonti, Quintosole - Chiaravalle, Milano",700,70
106,https://www.immobiliare.it/68754005-Affitto-Trilocale-via-Averardo-Buschi-Milano.html,"via Averardo Buschi, Città Studi, Milano",1300,80
107,https://www.immobiliare.it/68753663-Affitto-Monolocale-via-Francesco-Brioschi-Milano.html,"via Francesco Brioschi, Pezzotti - Meda, Milano",680,22
108,https://www.immobiliare.it/68754035-Affitto-Monolocale-via-Padova-Milano.html,"via Padova, Pasteur, Milano",450,20
109,https://www.immobiliare.it/68754089-Affitto-Monolocale-via-Magellano-Milano.html,"via Magellano, Dergano, Milano",500,25
110,https://www.immobiliare.it/68753921-Affitto-Bilocale-via-Domenico-Cimarosa-Milano.html,"via Domenico Cimarosa, Washington, Milano",970,56
111,https://www.immobiliare.it/68754207-Affitto-Monolocale-via-Francesco-Caracciolo-Milano.html,"via Francesco Caracciolo, Ghisolfa - Mac Mahon, Milano",600,42
112,https://www.immobiliare.it/68754875-Affitto-Bilocale-via-Raffaello-Bertieri-Milano.html,"via Raffaello Bertieri, Tripoli - Soderini, Milano",900,50
113,https://www.immobiliare.it/68754843-Affitto-Bilocale-via-Principe-Eugenio-Milano.html,"via Principe Eugenio, Cenisio, Milano",850,60
114,https://www.immobiliare.it/68753657-Affitto-Monolocale-via-Francesco-Caracciolo-Milano.html,"via Francesco Caracciolo, Ghisolfa - Mac Mahon, Milano",600,42
115,https://www.immobiliare.it/68754793-Affitto-Bilocale-via-Giuseppe-Ripamonti-Milano.html,"via Giuseppe Ripamonti, Quintosole - Chiaravalle, Milano",800,80
116,https://www.immobiliare.it/68753833-Affitto-Monolocale-via-Belluno-Milano.html,"via Belluno, Crescenzago, Milano",600,34
117,https://www.immobiliare.it/68754469-Affitto-Monolocale-via-dei-Tulipani-Milano.html,"via dei Tulipani, Giambellino, Milano",650,35
118,https://www.immobiliare.it/68753605-Affitto-Monolocale-via-Magellano-Milano.html,"via Magellano, Dergano, Milano",500,25
119,https://www.immobiliare.it/68752165-Affitto-Bilocale-via-Raffaello-Bertieri-Milano.html,"via Raffaello Bertieri, Tripoli - Soderini, Milano",900,50
120,https://www.immobiliare.it/68751817-Affitto-Bilocale-viale-Monza-Milano.html,"viale Monza, Pasteur, Milano",750,45
121,https://www.immobiliare.it/68751631-Affitto-Bilocale-via-Bernardino-Verro-Milano.html,"via Bernardino Verro, Vigentino - Fatima, Milano",900,55
122,https://www.immobiliare.it/68752031-Affitto-Trilocale-via-Ciro-Menotti-Milano.html,"via Ciro Menotti, Indipendenza, Milano",1380,85
123,https://www.immobiliare.it/68752377-Affitto-Monolocale-via-Padova-Milano.html,"via Padova, Pasteur, Milano",450,20
124,https://www.immobiliare.it/68752449-Affitto-Monolocale-via-Napo-Torriani-Milano.html,"via Napo Torriani, Centrale, Milano",30,30
125,https://www.immobiliare.it/68754335-Affitto-Bilocale-via-via-Domenico-Cimarosa-Milano.html,"via via Domenico Cimarosa, Vercelli - Wagner, Milano",970,56
126,https://www.immobiliare.it/68754703-Affitto-Trilocale-via-via-Buschi-Milano.html,"via via Buschi, Città Studi, Milano",1300,80
127,https://www.immobiliare.it/68752597-Affitto-Monolocale-via-via-Cenisio-Milano.html,"via via Cenisio, Cenisio, Milano",600,42
128,https://www.immobiliare.it/68754587-Affitto-Trilocale-via-via-Ripamonti-Milano.html,"via via Ripamonti, Vigentino - Fatima, Milano",700,70
129,https://www.immobiliare.it/68744797-Affitto-Bilocale-via-Giovanni-Bellezza-15-Milano.html,"via Giovanni Bellezza 15, Bocconi, Milano",800,50
130,https://www.immobiliare.it/68743393-Affitto-Bilocale-viale-Tibaldi-20-Milano.html,"viale Tibaldi 20, Pezzotti - Meda, Milano",780,50
131,https://www.immobiliare.it/68743443-Affitto-Trilocale-via-Pompeo-Neri-Milano.html,"via Pompeo Neri, Tripoli - Soderini, Milano",1950,175
132,https://www.immobiliare.it/68743683-Affitto-Monolocale-via-Giovanni-Bellezza-15-Milano.html,"via Giovanni Bellezza 15, Bocconi, Milano",700,40
133,https://www.immobiliare.it/68746145-Affitto-Bilocale-via-Spagnoletto-Milano.html,"via Spagnoletto, Monte Rosa - Lotto, Milano",1430,65
134,https://www.immobiliare.it/68743749-Affitto-Bilocale-via-STRIGELLI-Milano.html,"via STRIGELLI, Martini - Insubria, Milano",600,75
135,https://www.immobiliare.it/68745533-Affitto-Bilocale-via-SAN-FAUSTINO-Milano.html,"via SAN FAUSTINO, Lambrate, Milano",1000,60
136,https://www.immobiliare.it/68742713-Affitto-Bilocale-via-Ciro-Menotti-4-Milano.html,"via Ciro Menotti 4, Indipendenza, Milano",900,50
137,https://www.immobiliare.it/68744137-Affitto-Trilocale-piazza-Giuseppe-Missori-Milano.html,"piazza Giuseppe Missori, Missori, Milano",2500,110
138,https://www.immobiliare.it/68742773-Affitto-Bilocale-via-Ciro-Menotti-4-Milano.html,"via Ciro Menotti 4, Indipendenza, Milano",1650,120
139,https://www.immobiliare.it/68745909-Affitto-Monolocale-via-Giancarlo-Sismondi-50-Milano.html,"via Giancarlo Sismondi 50, Agonne - Corsica, Milano",650,35
140,https://www.immobiliare.it/68746201-Affitto-Bilocale-viale-Gran-Sasso-Milano.html,"viale Gran Sasso, Città Studi, Milano",800,50
141,https://www.immobiliare.it/68746735-Affitto-Bilocale-via-Raffaello-Bertieri-Milano.html,"via Raffaello Bertieri, Tripoli - Soderini, Milano",900,50
142,https://www.immobiliare.it/68746593-Affitto-Bilocale-corso-Buenos-Aires-Milano.html,"corso Buenos Aires, Porta Venezia, Milano",1450,90
143,https://www.immobiliare.it/68746501-Affitto-Trilocale-piazza-Firenze-Milano.html,"piazza Firenze, Sempione, Milano",1200,75
144,https://www.immobiliare.it/68746331-Affitto-Bilocale-via-Principe-Eugenio-Milano.html,"via Principe Eugenio, Cenisio, Milano",850,60
145,https://www.immobiliare.it/68745823-Affitto-Bilocale-via-Rogoredo-Milano.html,"via Rogoredo, Santa Giulia, Milano",580,58
146,https://www.immobiliare.it/68746131-Affitto-Bilocale-via-Ruggero-Bonghi-Milano.html,"via Ruggero Bonghi, Pezzotti - Meda, Milano",900,45
147,https://www.immobiliare.it/68746077-Affitto-Bilocale-viale-Romagna-Milano.html,"viale Romagna, Città Studi, Milano",700,65
148,https://www.immobiliare.it/68746259-Affitto-Bilocale-via-Pier-Francesco-Mola-Milano.html,"via Pier Francesco Mola, Certosa, Milano",800,50
149,https://www.immobiliare.it/68745839-Affitto-Monolocale-via-Belluno-Milano.html,"via Belluno, Crescenzago, Milano",600,34
150,https://www.immobiliare.it/68742161-Affitto-Bilocale-garigliano-Milano.html,"garigliano, Isola, Milano",900,50
151,https://www.immobiliare.it/68741515-Affitto-Trilocale-via-Salasco-1-Milano.html,"via Salasco, 1, Bocconi, Milano",1350,80
152,https://www.immobiliare.it/68746393-Affitto-Trilocale-via-Nicola-Antonio-Porpora-Milano.html,"via Nicola Antonio Porpora, Lambrate, Milano",1150,83
153,https://www.immobiliare.it/68746209-Affitto-Monolocale-viale-Monza-Milano.html,"viale Monza, Pasteur, Milano",750,45
154,https://www.immobiliare.it/68746053-Affitto-Monolocale-via-Padova-Milano.html,"via Padova, Pasteur, Milano",450,20
155,https://www.immobiliare.it/68742139-Affitto-Monolocale-bottego-Milano.html,"bottego, Crescenzago, Milano",600,40
156,https://www.immobiliare.it/68744309-Affitto-Trilocale-piazza-Firenze-Milano.html,"piazza Firenze, Sempione, Milano",1200,75
157,https://www.immobiliare.it/68743515-Affitto-Bilocale-via-Ruggero-Bonghi-Milano.html,"via Ruggero Bonghi, Pezzotti - Meda, Milano",900,45
158,https://www.immobiliare.it/68743985-Affitto-Monolocale-via-Gianfranco-Zuretti-Milano.html,"via Gianfranco Zuretti, Cascina dei Pomi, Milano",880,40
159,https://www.immobiliare.it/68744697-Affitto-Monolocale-via-Belluno-Milano.html,"via Belluno, Crescenzago, Milano",600,35
160,https://www.immobiliare.it/68743427-Affitto-Bilocale-via-Rogoredo-Milano.html,"via Rogoredo, Santa Giulia, Milano",580,60
161,https://www.immobiliare.it/68743379-Affitto-Monolocale-corso-Lodi-Milano.html,"corso Lodi, Lodi - Brenta, Milano",700,700
162,https://www.immobiliare.it/68745953-Affitto-Bilocale-ospedale-niguarda-Milano.html,"ospedale niguarda, Milano",615,60
163,https://www.immobiliare.it/68741995-Affitto-Monolocale-buono-stato-Milano.html,"buono stato, Garibaldi - Corso Como, Milano",600,16
164,https://www.immobiliare.it/68746929-Affitto-Trilocale-buono-stato-Milano.html,"buono stato, Lodi - Brenta, Milano",1100,90
165,https://www.immobiliare.it/68746843-Affitto-Trilocale-via-via-Ciro-Menotti-Milano.html,"via via Ciro Menotti, Indipendenza, Milano",1380,85
166,https://www.immobiliare.it/68745201-Affitto-Trilocale-via-via-Porpora-Milano.html,"via via Porpora, Città Studi, Milano",1150,85
167,https://www.immobiliare.it/68746675-Affitto-Bilocale-via-via-Bertieri-Milano.html,"via via Bertieri, Tripoli - Soderini, Milano",900,50
168,https://www.immobiliare.it/68746033-Affitto-Monolocale-via-Padova-Milano.html,"via Padova, Cimiano, Milano",450,20
169,https://www.immobiliare.it/68746417-Affitto-Bilocale-via-via-Giuseppe-Ripamonti-Milano.html,"via via Giuseppe Ripamonti, Vigentino - Fatima, Milano",800,80
170,https://www.immobiliare.it/68744741-Affitto-Trilocale-piazza-piazza-Firenze-Milano.html,"piazza piazza Firenze, Cenisio, Milano",1200,75
171,https://www.immobiliare.it/68745093-Affitto-Bilocale-via-via-Pepe-Milano.html,"via via Pepe, Isola, Milano",880,45
172,https://www.immobiliare.it/68744289-Affitto-Bilocale-via-via-Principe-Eugenio-Milano.html,"via via Principe Eugenio, Cenisio, Milano",850,60
173,https://www.immobiliare.it/68741997-Affitto-Bilocale-buono-stato-Milano.html,"buono stato, Moscova, Milano",1300,60
174,https://www.immobiliare.it/68737349-Affitto-Quadrilocale-piazza-Velasca-6-Milano.html,"piazza Velasca 6, Missori, Milano",2600,138
175,https://www.immobiliare.it/68740567-Affitto-Bilocale-via-del-Bollo-3-Milano.html,"via del Bollo 3, Carrobbio, Milano",1916,100
176,https://www.immobiliare.it/68738249-Affitto-Bilocale-via-CASSANO-D-ADDA-Milano.html,"via CASSANO D'ADDA, Corvetto, Milano",700,60
177,https://www.immobiliare.it/68737177-Affitto-Bilocale-corso-Plebisciti-13-Milano.html,"corso Plebisciti 13, Plebisciti - Susa, Milano",1300,78
178,https://www.immobiliare.it/68740595-Affitto-Monolocale-corso-di-Porta-Nuova-52-Milano.html,"corso di Porta Nuova 52, Porta Nuova, Milano",1100,42
179,https://www.immobiliare.it/68737649-Affitto-Bilocale-via-Spartaco-Milano.html,"via Spartaco, Montenero, Milano",850,50
180,https://www.immobiliare.it/68736243-Affitto-Quadrilocale-via-Giorgio-Washington-Milano.html,"via Giorgio Washington, Washington, Milano",1900,140
181,https://www.immobiliare.it/68736289-Affitto-Trilocale-via-Lipari-Milano.html,"via Lipari, Dezza, Milano",1400,90
182,https://www.immobiliare.it/68736245-Affitto-Quadrilocale-via-AZALEE-Milano.html,"via AZALEE, Primaticcio, Milano",1700,140
183,https://www.immobiliare.it/68737435-Affitto-Trilocale-via-del-Bollo-3-Milano.html,"via del Bollo 3, Carrobbio, Milano",2250,104
184,https://www.immobiliare.it/68738919-Affitto-Bilocale-piazzale-Gabrio-Piola-Milano.html,"piazzale Gabrio Piola, Città Studi, Milano",700,65
185,https://www.immobiliare.it/68738349-Affitto-Bilocale-via-Rogoredo-Milano.html,"via Rogoredo, Santa Giulia, Milano",580,58
186,https://www.immobiliare.it/68739661-Affitto-Trilocale-via-Nicola-Antonio-Porpora-Milano.html,"via Nicola Antonio Porpora, Lambrate, Milano",1150,83
187,https://www.immobiliare.it/68739241-Affitto-Monolocale-corso-Lodi-Milano.html,"corso Lodi, Lodi - Brenta, Milano",700,45
